"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"818","ham","n.","火腿","Would you like some ham in your sandwich?","你的三明治裡要加火腿嗎？"
"819","hamburger","n.","漢堡","He ordered a large hamburger and a cup of soda for lunch.","他午餐點了一個大漢堡和一杯汽水。"
"820","hammer","n./v.","槌子；用槌子敲","He used a hammer to fix the loose nail in the chair.","他用槌子修好了椅子上那根鬆掉的釘子。"
"821","hand","n./v.","手；交給","Please raise your hand if you have any questions.","如果有任何問題，請舉手。"
"822","handle","n./v.","柄；處理","The door handle is broken, so we cannot open it from the inside.","門把壞了，所以我們無法從裡面打開它。"
"823","handsome","adj.","英俊的","He is a handsome man with a friendly personality.","他是一位長相英俊且個性友善的男人。"
"824","hang","v.","懸掛","She hung her coat on the hanger by the door.","她把外套掛在門邊的衣架上。"
"825","hanger","n.","衣架","I need one more hanger for my new shirt.","我還需要一個衣架來掛我的新襯衫。"
"826","happen","v.","發生","No one knows exactly what happened at the party last night.","沒有人確切知道昨晚在派對上發生了什麼事。"
"827","happy","adj.","快樂的","She felt so happy to see her parents at the airport.","能在機場見到父母，她感到非常快樂。"
"828","hard","adj./adv.","困難的；努力地","Learning a new language can be hard, but it is worth it.","學習一門新語言可能很難，但這是值得的。"
"829","hardly","adv.","幾乎不","It was so dark that I could hardly see anything.","天色太暗，以至於我幾乎什麼都看不見。"
"830","hat","n.","帽子","Don't forget to wear your hat to protect yourself from the sun.","別忘了戴上帽子以防曬。"
"831","hate","v.","討厭","I hate waking up early on cold winter mornings.","我討厭在寒冷的冬日早晨早起。"
"832","have","v.","有、吃","We usually have breakfast at seven o'clock in the morning.","我們通常在早上七點吃早餐。"
"833","he","pron.","他","He is a very kind person who loves to help others.","他是一個非常善良、熱愛幫助別人的人。"
"834","head","n.","頭","He had a sharp pain in his head, so he went to see a doctor.","他頭痛得很厲害，所以去看醫生。"
"835","headache","n.","頭痛","I have a terrible headache after working in front of the computer all day.","在電腦前工作了一整天後，我頭痛得很嚴重。"
"836","health","n.","健康","Eating well and exercising regularly is the key to good health.","均衡飲食與規律運動是維持健康的關鍵。"
"837","healthy","adj.","健康的","You should eat more healthy food like fruits and vegetables.","你應該多吃水果和蔬菜等健康食物。"
"838","hear","v.","聽見","Can you hear the music coming from the next room?","你聽得見隔壁房間傳來的音樂嗎？"
"839","heart","n.","心臟、內心","She has a kind heart and is always willing to share.","她擁有一顆善良的心，總是樂於分享。"
"840","heat","n./v.","熱度；加熱","The heat from the fire kept us warm during the cold night.","火堆傳來的熱度讓我們在寒冷的夜晚保持溫暖。"
"841","heater","n.","暖氣機","It is so cold today; please turn on the heater.","今天太冷了，請打開暖氣機。"
"842","heavy","adj.","沉重的","The box is too heavy for me to carry alone.","這個箱子太重了，我一個人搬不動。"
"843","height","n.","高度","He is worried that his height will affect his basketball performance.","他很擔心他的身高會影響他的籃球表現。"
"844","helicopter","n.","直升機","We saw a helicopter flying over the city yesterday.","我們昨天看到一架直升機在城市上空飛行。"
"845","hello","excl.","哈囉","She said hello to everyone as she walked into the room.","她走進房間時向每個人打了個招呼。"
"846","help","v./n.","幫助","Could you help me with my homework?","你能幫我做功課嗎？"
"847","helpful","adj.","有幫助的","The librarian gave me some helpful advice on finding the book.","圖書館員給了我一些關於找書的實用建議。"
"848","hen","n.","母雞","The hen is sitting on her eggs in the nest.","母雞正坐在巢裡的蛋上孵蛋。"
"849","her","pron.","她的；她","I saw her walking in the park this morning.","我今天早上看到她在公園散步。"
"850","here","adv.","在這裡","I will meet you here at five o'clock.","我五點會在這邊跟你見面。"
"851","hero","n.","英雄","He is a hero because he saved a child from the fire.","他是一位英雄，因為他從火場中救出了一個小孩。"
"852","hers","pron.","她的（東西）","This pen is hers; I borrowed it from her yesterday.","這支筆是她的，我昨天從她那裡借來的。"
"853","herself","pron.","她自己","She finished the whole project by herself without any help.","她沒尋求任何幫助，獨自完成了整個專案。"
"854","hey","excl.","嘿（引起注意）","Hey, wait for me! I am coming with you.","嘿，等我一下！我也要跟你們一起去。"
"855","hi","excl.","嗨","Hi! It has been a long time since we last met.","嗨！我們上次見面已經過了很久了。"
"856","hide","v.","躲藏、隱藏","Let's play hide-and-seek; I will hide behind the tree.","我們來玩躲貓貓吧，我要躲在樹後面。"
"857","high","adj.","高的","The mountain is very high, so it is hard to climb to the top.","那座山很高，所以很難爬到山頂。"
"858","highway","n.","公路","We drove on the highway to reach our destination quickly.","我們行駛在公路上以快速抵達目的地。"
"859","hike","n./v.","健行、徒步旅行","We decided to go for a hike in the mountains on the weekend.","我們決定週末去山上健行。"
"860","hill","n.","小山丘","The small village is located at the foot of the hill.","那個小村莊位於小山丘的山腳下。"
"861","him","pron.","他（受格）","I like him because he is always very kind to me.","我喜歡他，因為他對我總是非常友善。"
"862","himself","pron.","他自己","He built the bookshelf by himself last weekend.","上週末他獨自一人組裝了那個書架。"
"863","hip","n.","臀部","She put her hands on her hips and looked at me.","她雙手插腰看著我。"
"864","hire","v.","雇用","The company decided to hire more staff to handle the busy season.","公司決定雇用更多員工來應對忙碌季節。"
"865","his","pron.","他的","Is this his umbrella or yours?","這支雨傘是他的還是你的？"
"866","history","n.","歷史","She enjoys studying history and learning about the past.","她喜歡讀歷史並學習關於過去的事。"
"867","hit","v./n.","打、擊中","He hit the ball hard, and it flew over the fence.","他用力擊球，球飛越了圍欄。"
"868","hobby","n.","愛好","My favorite hobby is reading comic books in my spare time.","我最喜歡的愛好是在閒暇時間閱讀漫畫書。"
"869","hold","v.","拿著、握著","Please hold this bag for a moment while I tie my shoes.","請幫我拿一下這個袋子，我綁個鞋帶。"
"870","holiday","n.","假日、假期","We are looking forward to our upcoming summer holiday.","我們正期待著即將到來的暑假。"
"871","home","n./adv.","家；在家","I can't wait to go home and relax after a long day at work.","經歷了漫長的一天工作後，我迫不及待想回家放鬆。"
"872","homesick","adj.","想家的","He felt homesick during his first few weeks studying in a foreign country.","他在國外留學的前幾週感到很想家。"
"873","homework","n.","家庭作業","Don't forget to finish your math homework before the class starts tomorrow.","別忘了在明天上課前完成你的數學作業。"
"874","honest","adj.","誠實的","It is always the best policy to be honest with your friends.","對你的朋友誠實永遠是最好的策略。"
"875","honesty","n.","誠實","Honesty is the most important quality in our friendship.","誠實是我們友誼中最重要的特質。"
"876","honey","n.","蜂蜜","She added a spoonful of honey to her tea to make it sweeter.","她在茶裡加了一匙蜂蜜，讓茶更甜一些。"
"877","Hong Kong","n.","香港","Many tourists from all over the world visit Hong Kong every year.","每年都有來自世界各地的觀光客造訪香港。"
"878","hop","v./n.","單腳跳、跳躍","The little rabbit hopped across the field quickly.","那隻小兔子快速地跳過了田野。"
"879","hope","v./n.","希望","I hope to see you again in the near future.","我希望在不久的將來能再次見到你。"
"880","horrible","adj.","恐怖的、糟糕的","The movie was so horrible that I had to cover my eyes.","這部電影太恐怖了，我不得不遮住眼睛。"
"881","horse","n.","馬","Riding a horse is a popular activity at this farm.","騎馬是這個農場很受歡迎的活動。"
"882","hospital","n.","醫院","He was taken to the hospital immediately after the accident.","事故發生後，他被立即送往醫院。"
"883","host","n./v.","主人、主辦人；主辦","She will host a dinner party for her colleagues this Saturday.","她將在本週六為她的同事舉辦一場晚餐派對。"
"884","hot","adj.","熱的","Be careful, the soup is very hot!","小心，這碗湯很燙！"
"885","hotel","n.","飯店","We booked a comfortable hotel room near the city center.","我們在市中心附近預訂了一間舒適的飯店房間。"
"886","hour","n.","小時","It takes about two hours to drive from here to the beach.","從這裡開車到海邊大約需要兩個小時。"
"887","house","n.","房子","They are planning to build a new house in the suburbs.","他們計畫在郊區蓋一棟新房子。"
"888","how","adv.","如何","How do you usually spend your weekend?","你週末通常都怎麼過？"
"889","however","adv.","然而","I wanted to go to the park; however, it started to rain.","我本想去公園，然而，開始下雨了。"
"890","huge","adj.","巨大的","They live in a huge house with a big swimming pool.","他們住在一棟有大游泳池的巨大房子裡。"
"891","human","n./adj.","人類；人類的","It is a human nature to want to be loved and understood.","想要被愛和被理解是人類的天性。"
"892","humble","adj.","謙虛的","He is a very humble person despite his great achievements.","儘管有偉大的成就，他依然是一個非常謙虛的人。"
"893","humid","adj.","潮濕的","The weather is very humid in the summer, making people feel sticky.","夏天天氣非常潮濕，讓人感到黏膩。"
"894","humor","n.","幽默感","He has a great sense of humor and always makes us laugh.","他很有幽默感，總是能逗我們笑。"
"895","humorous","adj.","幽默的","She told a humorous story that made the whole class burst into laughter.","她講了一個幽默的故事，讓全班哄堂大笑。"
"896","hundred","n./adj.","一百；一百的","There are over one hundred people waiting in the line.","隊伍中有超過一百人在排隊。"
"897","hunger","n.","飢餓","They worked hard to help the poor people who were suffering from hunger.","他們努力工作以幫助那些遭受飢餓之苦的窮人。"
"898","hungry","adj.","飢餓的","I was so hungry that I ate two bowls of rice.","我餓到吃了兩碗飯。"
"899","hunt","v./n.","狩獵、搜尋","In the past, people had to hunt animals for food.","在過去，人們必須為了食物而狩獵動物。"
"900","hunter","n.","獵人","The hunter followed the tracks of the deer into the forest.","獵人跟隨著鹿的蹤跡進入了森林。"
"901","hurry","v./n.","匆忙","Please hurry, or we will miss the last train.","請快一點，否則我們會錯過末班車。"
"902","hurt","v./adj.","傷害、疼痛","Be careful with the knife, or you will hurt yourself.","小心那把刀，不然你會傷到自己。"
"903","husband","n.","丈夫","My sister and her husband are going to Japan for their honeymoon.","我姊姊和她丈夫要去日本度蜜月。"
"904","I","pron.","我","I am going to visit my grandparents this weekend.","我這個週末要去拜訪我的祖父母。"
"905","ice","n.","冰","Would you like some ice in your juice?","你的果汁要加冰塊嗎？"
"906","idea","n.","點子、想法","That's a great idea! Let's do that.","那是個好點子！我們就那樣做吧。"
"907","if","conj.","如果","If it rains tomorrow, we will stay home and watch a movie.","如果明天下雨，我們會待在家裡看電影。"
"908","ignore","v.","忽視","Don't ignore his message; he really needs your help.","別忽視他的訊息，他真的很需要你的幫助。"
"909","ill","adj.","生病的","He has been ill for a week, so he cannot go to work.","他已經病了一週，所以無法去工作。"
"910","image","n.","影像、形象","The artist created a vivid image of the sunset.","那位藝術家創作出了一幅栩栩如生的夕陽影像。"
"911","imagine","v.","想像","Can you imagine living on the moon?","你能想像住在月球上嗎？"
"912","impolite","adj.","不禮貌的","It is impolite to talk while others are speaking.","別人說話時插嘴是不禮貌的。"
"913","import","v./n.","進口","This company imports high-quality coffee beans from abroad.","這家公司從國外進口高品質的咖啡豆。"
"914","importance","n.","重要性","The manager emphasized the importance of teamwork.","經理強調了團隊合作的重要性。"
"915","important","adj.","重要的","It is important to brush your teeth every day.","每天刷牙是很重要的。"
"916","impossible","adj.","不可能的","It is impossible to finish this huge task in just one day.","要在一天內完成這項巨大任務是不可能的。"
"917","improve","v.","改進、改善","You need to practice more to improve your English skills.","你需要多練習來改善你的英語技巧。"
"918","in","prep.","在...裡面","My keys are in my pocket.","我的鑰匙在我的口袋裡。"
"919","inch","n.","英吋","The screen of this tablet is ten inches wide.","這台平板電腦的螢幕寬度是十英吋。"
"920","include","v.","包含","The price of the tour includes lunch and entrance tickets.","團費包含了午餐和門票。"
"921","including","prep.","包括","There are five people in the group, including the teacher.","這組有五個人，包括老師在內。"
"922","income","n.","收入","She spends most of her monthly income on rent and food.","她將每月的大部分收入花在房租和伙食上。"
"923","increase","v./n.","增加","The number of visitors has increased significantly this year.","今年遊客的數量已經顯著增加了。"
"924","indicate","v.","顯示、指出","The red light indicates that the machine is not working.","紅燈顯示機器沒有在運作。"
"925","individual","n./adj.","個人；個別的","Every individual has the right to express their own opinions.","每個人都有權利表達自己的觀點。"
"926","industry","n.","工業、產業","The technology industry is changing very fast.","科技產業正在快速地改變。"
"927","influence","v./n.","影響","His music has a great influence on the young generation.","他的音樂對年輕一代有很大的影響。"
"928","injury","n.","傷害、傷口","He suffered a leg injury during the soccer match.","他在足球比賽中腿部受傷了。"
"929","ink","n.","墨水","The ink in my pen has run out.","我筆裡的墨水用完了。"
"930","insect","n.","昆蟲","Some insects are helpful to the environment.","有些昆蟲對環境是有益的。"
"931","inside","prep./adv.","在...裡面","It is raining outside, so please stay inside.","外面在下雨，所以請待在室內。"
"932","insist","v.","堅持","He insisted that we take a taxi instead of the bus.","他堅持我們搭計程車而不是搭公車。"
"933","inspire","v.","激勵、啟發","Her courage to overcome challenges inspired many people.","她克服挑戰的勇氣激勵了許多人。"
"934","instance","n.","例子、情況","For instance, you can use a dictionary to learn new words.","例如，你可以使用字典來學習新單字。"
"935","instrument","n.","樂器、工具","She can play several musical instruments, including the piano and flute.","她會演奏幾種樂器，包括鋼琴和長笛。"
"936","intelligent","adj.","聰明的","He is an intelligent student who always gets good grades.","他是一位總能拿到好成績的聰明學生。"
"937","interest","n./v.","興趣；使感興趣","Music has always been a great interest of mine.","音樂一直是我的一大興趣。"
"938","interested","adj.","感興趣的","Are you interested in joining our hiking club?","你有興趣加入我們的健行社嗎？"
"939","Internet","n.","網際網路","I use the Internet every day to find information for my reports.","我每天都用網路尋找報告所需的資料。"
"940","interrupt","v.","打斷","Please do not interrupt while others are talking.","別人說話時，請不要打斷。"
"941","interview","n./v.","面試、訪談","She felt nervous before her job interview.","她在面試前感到很緊張。"
"942","into","prep.","進入...裡面","The cat jumped into the box to hide.","那隻貓跳進盒子裡躲起來。"
"943","introduce","v.","介紹","Let me introduce you to my new friend, Sarah.","讓我把你介紹給我的新朋友 Sarah。"
"944","invent","v.","發明","Who invented the light bulb?","是誰發明了燈泡？"
"945","investigate","v.","調查","The police are investigating the cause of the accident.","警方正在調查那起事故的原因。"
"946","invitation","n.","邀請函","I received an invitation to their wedding next month.","我收到了他們下個月婚禮的邀請函。"
"947","invite","v.","邀請","They invited all their friends to the birthday party.","他們邀請了所有的朋友參加生日派對。"
"948","iron","n./v.","鐵；熨燙","She ironed her shirt to make it look neat before the meeting.","她在開會前燙了襯衫，好讓它看起來整潔。"
"949","is","v.","是（be 動詞）","Today is a beautiful sunny day.","今天是一個美麗的晴天。"
"950","island","n.","島嶼","We spent our vacation on a small island in the south.","我們在南部的一個小島上度過假期。"
"951","it","pron.","它","Look at that bird! It has beautiful feathers.","看那隻鳥！它有漂亮的羽毛。"
"952","item","n.","項目、條目","Please check every item on the list before you leave.","請在離開前檢查清單上的每一個項目。"
"953","its","pron.","它的","The cat is licking its paw.","那隻貓正在舔牠的爪子。"
"954","itself","pron.","它自己","The door closed by itself.","門自動關上了。"
"955","jacket","n.","外套、夾克","It's chilly today; you'd better wear a jacket.","今天有點冷，你最好穿件外套。"
"956","jam","n.","果醬、擁擠","I like to eat toast with strawberry jam for breakfast.","我喜歡早餐吃抹了草莓果醬的吐司。"
"957","January","n.","一月","January is usually the coldest month of the year in this city.","在這座城市，一月通常是一年中最冷的一個月。"
"958","Japan","n.","日本","They are planning to travel to Japan next spring.","他們計畫明年春天去日本旅遊。"
"959","Japanese","n./adj.","日本人、日語；日本的","She is studying Japanese because she loves Japanese culture.","她正在學習日語，因為她熱愛日本文化。"
"960","jazz","n.","爵士樂","He enjoys listening to jazz music while working.","他喜歡在工作時聽爵士樂。"
"961","jealous","adj.","嫉妒的","He felt jealous when he saw his friend wearing a new watch.","看到朋友戴著新手錶時，他感到很嫉妒。"
"962","jeans","n.","牛仔褲","She likes to wear blue jeans because they are comfortable and easy to match.","她喜歡穿藍色牛仔褲，因為它們舒適又容易搭配。"
"963","jeep","n.","吉普車","They drove a jeep across the rough mountain road.","他們開著吉普車穿越崎嶇的山路。"
"964","job","n.","工作","He is looking for a new job that offers better pay.","他正在尋找一份薪水更好的新工作。"
"965","jog","v.","慢跑","I usually jog in the park for thirty minutes every morning.","我通常每天早上在公園慢跑三十分鐘。"
"966","join","v.","加入、參加","Would you like to join us for dinner tonight?","你今晚要加入我們一起吃晚餐嗎？"
"967","joint","adj./n.","共同的；關節","They made a joint effort to finish the project on time.","他們共同努力在期限內完成了專案。"
"968","joke","n./v.","玩笑","He told a funny joke that made everyone in the room laugh.","他講了一個有趣的笑話，讓房間裡的每個人都笑了。"
"969","journalist","n.","記者","The journalist interviewed the famous actor for the local newspaper.","那位記者為當地報紙採訪了知名演員。"
"970","joy","n.","喜悅","It was a great joy to see my family after a long time.","能與家人久別重逢是一件非常快樂的事。"
"971","judge","n./v.","法官；評判","The judge listened to the evidence before making a final decision.","法官在做出最終決定前聆聽了證據。"
"972","juice","n.","果汁","Fresh orange juice is a healthy choice for breakfast.","新鮮柳橙汁是早餐的健康選擇。"
"973","July","n.","七月","July is usually a very hot month in Taiwan.","七月在台灣通常是一個非常熱的月份。"
"974","jump","v./n.","跳躍","The boy jumped over the fence with ease.","那個男孩輕鬆地跳過了圍欄。"
"975","June","n.","六月","We will graduate in June this year.","我們今年六月畢業。"
"976","just","adv.","僅僅、剛剛","I have just finished reading this book.","我剛剛讀完這本書。"
"977","kangaroo","n.","袋鼠","Kangaroo is a famous animal that lives in Australia.","袋鼠是生活在澳洲的一種著名動物。"
"978","keep","v.","保持、維持","Please keep the classroom clean and tidy.","請保持教室乾淨整潔。"
"979","ketchup","n.","番茄醬","Could you please pass me the ketchup for my fries?","可以請你把薯條用的番茄醬遞給我嗎？"
"980","key","n.","鑰匙、關鍵","Did you remember to take your house key before leaving?","你記得出門前要拿家裡的鑰匙嗎？"
"981","kick","v./n.","踢","He kicked the soccer ball into the goal.","他把足球踢進了球門。"
"982","kid","n.","小孩","The kids are playing happily in the sandbox.","孩子們正在沙坑裡快樂地玩耍。"
"983","kill","v.","殺死","Please be careful not to kill the plant by overwatering it.","請小心不要因為澆水過多而把植物弄死了。"
"984","kilogram","n.","公斤","This bag of rice weighs five kilograms.","這袋米重五公斤。"
"985","kilometer","n.","公里","The school is only two kilometers away from my house.","學校離我家只有兩公里。"
"986","kind","adj./n.","親切的；種類","She is a kind person who is always ready to help.","她是一位總樂於助人的親切的人。"
"987","king","n.","國王","The king lived in a large castle with his family.","國王和他的家人住在一座大城堡裡。"
"988","kingdom","n.","王國","The story is about a king who ruled a peaceful kingdom.","故事是關於一位統治和平王國的國王。"
"989","kiss","v./n.","親吻","The mother gave her son a kiss on the cheek before he left for school.","母親在兒子去上學前親吻了他的臉頰。"
"990","kitchen","n.","廚房","My mother is cooking a delicious meal in the kitchen.","我媽媽正在廚房煮一頓美味的餐點。"
"991","kite","n.","風箏","We went to the beach to fly a kite on a windy day.","我們在風大的日子去海邊放風箏。"
"992","kitten","n.","小貓","The little girl is playing with a cute kitten in the yard.","那個小女孩正在院子裡跟一隻可愛的小貓玩。"
"993","knee","n.","膝蓋","He hurt his knee when he fell down during the basketball game.","他在籃球比賽中跌倒時弄傷了膝蓋。"
"994","knife","n.","刀","Please use a sharp knife to cut the meat into small pieces.","請用一把鋒利的刀把肉切成小塊。"
"995","knock","v.","敲門","Please knock on the door before you enter the room.","進房間前請先敲門。"
"996","know","v.","知道","Do you know what time the library closes today?","你知道圖書館今天幾點關門嗎？"
"997","knowledge","n.","知識","Reading books is a good way to gain more knowledge.","閱讀書籍是獲取更多知識的好方法。"
"998","koala","n.","無尾熊","Koalas are animals that live in eucalyptus trees in Australia.","無尾熊是住在澳洲尤加利樹上的動物。"
"999","Korea","n.","韓國","They are going to travel to Korea for winter vacation.","他們打算寒假去韓國旅遊。"
"1000","Korean","n./adj.","韓國人、韓語；韓國的","She speaks Korean very well after studying it for two years.","學了兩年後，她韓語說得非常好。"
"1001","lack","v./n.","缺乏","He failed the test because of his lack of preparation.","因為缺乏準備，他考試不及格。"
"1002","lady","n.","女士","The lady at the front desk will help you check in.","櫃檯的女士會協助你辦理入住。"
"1003","lake","n.","湖泊","We went boating on the lake during our holiday.","我們在假期時去湖上划船。"
"1004","lamb","n.","羊肉、小羊","Would you like to try some roasted lamb for dinner?","晚餐要試試烤羊肉嗎？"
"1005","lamp","n.","檯燈","Please turn on the lamp so you can see better while reading.","請打開檯燈，這樣閱讀時你看得比較清楚。"
"1006","land","n./v.","土地；登陸","The plane will land at the airport in ten minutes.","飛機將在十分鐘後於機場降落。"
"1007","language","n.","語言","Learning a foreign language opens up new opportunities.","學習外語能開啟新的機會。"
"1008","lantern","n.","燈籠","Children carry beautiful lanterns during the Lantern Festival.","孩子們在元宵節時會提著漂亮的燈籠。"
"1009","large","adj.","大的","They live in a large apartment in the heart of the city.","他們住在市中心一間很大的公寓裡。"
"1010","last","adj./adv./v.","最後的；持續","This is the last day of our summer vacation.","這是我們暑假的最後一天。"
"1011","late","adj./adv.","遲到的、晚的","I'm sorry I'm late; the bus was caught in traffic.","抱歉我遲到了，公車塞在車陣中。"
"1012","later","adv.","稍後","I'll finish my homework and call you later.","我會寫完作業然後稍後打給你。"
"1013","latest","adj.","最新的","Have you seen the latest news about the concert?","你看過關於那場演唱會的最新消息了嗎？"
"1014","laugh","v./n.","笑","Everyone laughed at the funny story he told.","每個人都聽了他講的有趣故事而笑了。"
"1015","law","n.","法律","Everyone must follow the law of the country.","每個人都必須遵守國家的法律。"
"1016","lawyer","n.","律師","He decided to become a lawyer to help people in need.","他決定成為一名律師以幫助需要的人。"
"1017","lay","v.","放置、產卵","Please lay your bag on the floor while we have lunch.","我們吃午餐時請把袋子放在地板上。"
"1018","lazy","adj.","懶惰的","Don't be so lazy; you need to clean your room today.","不要那麼懶，你今天得打掃房間。"
"1019","lead","v.","引導、帶領","The guide will lead us through the forest.","嚮導會帶領我們穿越森林。"
"1020","leader","n.","領導者","A good leader always listens to the opinions of team members.","一位好的領導者總會傾聽團隊成員的意見。"
"1021","leadership","n.","領導能力","She showed great leadership during the crisis.","在危機期間，她展現了卓越的領導能力。"
"1022","leaf","n.","葉子","The leaves turn yellow and fall to the ground in autumn.","秋天時葉子變黃並落到地面上。"
"1023","learn","v.","學習","He is learning how to cook traditional dishes from his grandmother.","他正在學習如何向祖母烹飪傳統菜餚。"
"1024","least","adj./adv.","最少的","This is the least important thing we need to worry about.","這是我們最不需要擔心的事情。"
"1025","leave","v.","離開、留下","It is time for us to leave for the airport.","我們該出發去機場了。"
"1026","left","adj./n.","左邊的；左邊","Please turn left at the next traffic light.","請在下一個紅綠燈左轉。"
"1027","leg","n.","腿","She hurt her leg while running in the park.","她在公園跑步時傷到了腿。"
"1028","legal","adj.","法律的、合法的","You should seek legal advice if you have any questions.","如果你有任何問題，應該尋求法律建議。"
"1029","lemon","n.","檸檬","I like to drink hot water with a slice of lemon.","我喜歡喝加了一片檸檬的熱水。"
"1030","lend","v.","借出","Could you lend me your umbrella for a while?","你可以把雨傘借我一下嗎？"
"1031","length","n.","長度","The length of this room is about five meters.","這個房間的長度大約是五公尺。"
"1032","less","adj./adv.","更少的","Eating less sugar is good for your health.","少吃糖對你的健康有益。"
"1033","lesson","n.","課程、教訓","We learned a valuable lesson from our past mistakes.","我們從過去的錯誤中學到了寶貴的教訓。"
"1034","let","v.","讓","My parents won't let me go out late at night.","我父母不讓我晚上太晚出門。"
"1035","letter","n.","信、字母","She wrote a long letter to her friend who lives abroad.","她寫了一封長信給住在國外的朋友。"
"1036","lettuce","n.","萵苣、生菜","Fresh lettuce makes this sandwich taste much better.","新鮮的萵苣讓這個三明治吃起來美味許多。"
"1037","level","n.","水平、等級","The water level in the river rose quickly after the heavy rain.","大雨過後，河水水位迅速上升。"
"1038","library","n.","圖書館","I go to the library to study because it is quiet there.","我去圖書館唸書，因為那裡很安靜。"
"1039","lick","v.","舔","The puppy licked my hand happily.","小狗快樂地舔了我的手。"
"1040","lid","n.","蓋子","Please put the lid on the pot to keep the food warm.","請把鍋蓋蓋上，以保持食物的熱度。"
"1041","lie","v.","躺、說謊","He was so tired that he decided to lie down on the sofa.","他太累了，所以決定躺在沙發上休息。"
"1042","life","n.","生活、生命","She has lived a very interesting life.","她過著非常精彩的人生。"
"1043","lift","v./n.","舉起、電梯","Could you help me lift this heavy box?","你可以幫我舉起這個重箱子嗎？"
"1044","light","n./adj.","光、燈；輕的","The light in this room is too dim for reading.","這間房間的燈光太暗，不適合閱讀。"
"1045","lightning","n.","閃電","We saw a flash of lightning during the storm.","風暴期間我們看到了一道閃電。"
"1046","like","prep./v.","像；喜歡","It is like a dream come true to be here.","來到這裡就像美夢成真一樣。"
"1047","likely","adj.","很可能的","It is likely to rain this afternoon.","今天下午很有可能會下雨。"
"1048","limit","n./v.","限制","There is a speed limit on this road.","這條路上有速限。"
"1049","line","n.","線、排隊","Please stand in line and wait for your turn.","請排隊並等待輪到你。"
"1050","link","n./v.","連結","There is a strong link between exercise and good health.","運動與健康之間有強烈的連結。"
"1051","lion","n.","獅子","The lion is known as the king of the jungle.","獅子被稱為叢林之王。"
"1052","lip","n.","嘴唇","She put on some lipstick to make her lips look brighter.","她塗了一些口紅讓她的嘴唇看起來更亮。"
"1053","liquid","n./adj.","液體；液體的","Water is a liquid at room temperature.","水在室溫下是液體。"
"1054","list","n./v.","清單；列出","Make a list of the things you need to buy at the supermarket.","列一張你在超市需要買的東西清單。"
"1055","listen","v.","聽","Please listen carefully to the teacher's instructions.","請仔細聽老師的指示。"
"1056","liter","n.","公升","This bottle holds two liters of water.","這瓶子裝了兩公升的水。"
"1057","little","adj./adv.","小的；一點點","He is just a little boy, so please be patient with him.","他只是一個小男孩，所以請對他耐心一點。"
"1058","live","v./adj.","居住；活的","They live in a small town near the mountains.","他們住在山附近的一個小鎮。"
"1059","loaf","n.","（麵包）一條","She bought a loaf of bread from the bakery this morning.","她今天早上從麵包店買了一條麵包。"
"1060","local","adj./n.","當地的；當地人","We enjoyed eating local food during our trip.","我們在旅途中很享受吃當地的食物。"
"1061","lock","n./v.","鎖；鎖上","Did you remember to lock the door before you left?","你記得離開前有鎖門嗎？"
"1062","London","n.","倫敦","London is the capital city of the United Kingdom.","倫敦是聯合王國的首都。"
"1063","lonely","adj.","寂寞的","He felt lonely after his friends moved away.","朋友搬走後，他感到很寂寞。"
"1064","long","adj./adv.","長的；長時間","The movie was so long that I almost fell asleep.","這部電影太長了，我差點睡著。"
"1065","look","v./n.","看；樣子","She looks very happy in this photograph.","在這張照片中，她看起來很高興。"
"1066","lose","v.","失去、輸掉","Don't lose hope; things will get better soon.","不要失去希望，情況很快會好轉的。"
"1067","loser","n.","失敗者","He is a good sport; he doesn't mind being a loser in the game.","他很有運動家精神，他不介意在遊戲中成為失敗者。"
"1068","loss","n.","損失、失去","The company suffered a great loss because of the fire.","公司因為那場火災遭受了重大損失。"
"1069","lot","n.","很多","We had a lot of fun at the party yesterday.","我們昨天在派對上玩得很開心。"
"1070","loud","adj./adv.","大聲的","The music is too loud; could you turn it down?","音樂太大聲了，你可以轉小聲一點嗎？"
"1071","love","n./v.","愛","She has a great love for animals.","她非常熱愛動物。"
"1072","lovely","adj.","可愛的、迷人的","You look lovely in that red dress.","妳穿那件紅裙子看起來很迷人。"
"1073","lover","n.","愛好者、戀人","He is a great lover of classical music.","他是一位古典音樂的狂熱愛好者。"
"1074","low","adj.","低的","The price of this item is quite low compared to others.","與其他相比，這個項目的價格相當低。"
"1075","lucky","adj.","幸運的","I feel lucky to have such wonderful friends.","擁有這麼棒的朋友，我覺得很幸運。"
"1076","lunch","n.","午餐","What did you have for lunch today?","你今天午餐吃了什麼？"
"1077","ma’am","n.","女士（稱呼）","How can I help you, ma’am?","有什麼我可以幫妳的嗎，女士？"
"1078","machine","n.","機器","This machine is used to wash dishes automatically.","這台機器是用來自動洗碗的。"
"1079","mad","adj.","生氣的、瘋狂的","He was mad at his brother for breaking his toy.","他因為哥哥弄壞他的玩具而對他很生氣。"
"1080","magazine","n.","雜誌","She enjoys reading fashion magazines in her free time.","她閒暇時喜歡看時尚雜誌。"
"1081","magic","n./adj.","魔法；神奇的","The kids were amazed by the magic tricks.","孩子們對那些魔術把戲感到驚奇。"
"1082","magician","n.","魔術師","The magician pulled a rabbit out of his hat.","魔術師從帽子裡拉出了一隻兔子。"
